scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Stimulus-Seeking,,pai,PAI,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,patient is likely to manifest behavior that is reckless and potentially dangerous to himself and/or those around him
Activity Level,,pai,PAI,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,this activity level renders the person confused and difficult to understand
Affective (A),,pai,PAI,Psychiatric Disorders,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,"high scorers experience a great deal of tension, have difficulty with relaxing and tend to be easily fatigued as a result of high-perceived stress"
Affective (D),,pai,PAI,Psychiatric Disorders,Depression,Mood/Depression,,,,rating_scale,t_score,"elevations suggest sadness, a loss of interest in normal activities and a loss if one's sense of pleasure in things that were previously enjoyed"
Aggression,,pai,PAI,Psychiatric Disorders,Aggression,Aggressive Behavior,,,,rating_scale,t_score,"scores are indicative of an individual who may be seen as impatient, irritable, and quick-tempered"
Aggressive Attitude,,pai,PAI,Psychiatric Disorders,Aggression,Aggressive Behavior,,,,rating_scale,t_score,suggest an individual who is easily angered and frustrated; others may perceive him as hostile and readily provoked
Anxiety,,pai,PAI,Psychiatric Disorders,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,reflecting a generalized impairment associated with anxiety
Anxiety-Related Disorders,,pai,PAI,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,reflecting multiple anxiety-disorder diagnoses and broad impairment associated with anxiety
Cognitive (A),,pai,PAI,Psychiatric Disorders,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,elevations indicate worry and concern about current (often uncontrollable) issues that compromise the person's ability to concentrate and attend
Cognitive (D),,pai,PAI,Psychiatric Disorders,Depression,Mood/Depression,,,,rating_scale,t_score,a higher scorer is likely to report feeling hopeless and as having failed at most important life tasks
Conversion,,pai,PAI,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"moderate elevations may be seen in neurological disorders with CNS impairment involving sensorimotor problems, MS, CVA/stroke, or neuropsychological associated with chronic alcoholism"
Depression,,pai,PAI,Psychiatric Disorders,Depression,Mood/Depression,,,,rating_scale,t_score,"person feels hopeless, discouraged and useless"
Grandiosity,,pai,PAI,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,"person may have little capacity to recognize personal limitations, to the point where one is not able to think clearly about one's capabilities"
Health Concerns,,pai,PAI,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"elevations indicate a poor health may be a major component of the self-image, with the person accustomed to being in the patient role"
Hypervigilance,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,suggest a person who is pragmatic and skeptical in relationships
Irritability,,pai,PAI,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,person is very volatile in response to frustration and his judgment in such situations may be poor
Mania,,pai,PAI,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,"scores are associated with disorders such as mania, hypomania, or cyclothymia"
Obsessive-Compulsive,,pai,PAI,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,scores marked rigidity and significant ruminative concerns
Paranoia,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,individuals are likely to be overtly suspicious and hostile
Persecution,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,suggest an individual who is quick to feel that they are being treated inequitably and easily believes that there is concerted effort among others to undermine their best interests
Phobias,,pai,PAI,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,"indicate impairing phobic behaviors, with avoidance of the feared object or situation"
Physical Aggression,,pai,PAI,Psychiatric Disorders,Aggression,Aggression,,,,rating_scale,t_score,"suggest that losses of temper are more common and that the person is prone to more physical displays of anger, perhaps breaking objects or engaging in physical confrontations"
Physiological (A),,pai,PAI,Psychiatric Disorders,Anxiety,Anxiety,,,,rating_scale,t_score,"high scorers my not psychologically experience themselves as anxious, but show physiological signs that most people associate with anxiety"
Physiological (D),,pai,PAI,Psychiatric Disorders,Depression,Depression,,,,rating_scale,t_score,"elevations suggest a change in level of physical functioning, typically with a disturbance in sleep pattern, a decrease in energy and level of sexual interest and a loss of appetite and/or weight loss"
Psychotic Experiences,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,person may strike others as peculiar and eccentric
Resentment,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,increasing tendency to attribute any misfortunes to the neglect of others and to discredit the successes of others as being the result of luck or favoritism
Schizophrenia,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,associated with an active schizophrenic episode
Social Detachment,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,reflects a person who neither desires nor enjoys the meaning to personal relationships
Somatic Complaints,,pai,PAI,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,degree of concern about physical functioning and health matters and the extent of perceived impairment arising from somatic symptoms
Somatization,,pai,PAI,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"high scorers describe general lethargy and malaise, and the presentation is one of complaintiveness and dissatisfaction"
Suicidal Ideation,,pai,PAI,Psychiatric Disorders,Depression,Mood/Depression,,,,rating_scale,t_score,scores are typically of an individual who is seen in clinical settings
Thought Disorder,,pai,PAI,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,suggest problems in concentration and decision-making
Traumatic Stress,,pai,PAI,Psychiatric Disorders,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,trauma (single or multiple) is the overriding focus of the person's life
Verbal Aggression,,pai,PAI,Psychiatric Disorders,Aggression,Aggressive Behavior,,,,rating_scale,t_score,"reflects a person who is assertive and not intimidated by confrontation and, toward the upper end of this range, he may be verbally aggressive"
Dominance,,pai,PAI,Psychosocial Problems,Interpersonal,Interpersonal,,,,rating_scale,t_score,"Average scores reflect an individual who is likely to be able to adapt to different interpersonal situations, by being able to both take and relinquish control in these relationships as needed"
Nonsupport,,pai,PAI,Psychosocial Problems,Social Environment,Social Environment,,,,rating_scale,t_score,"social relationships are perceived as offering little support - family relationships may be either distant or combative, whereas friends are generally seen as unavailable or not helpful when needed"
Stress,,pai,PAI,Psychosocial Problems,Social Environment,Social Environment,,,,rating_scale,t_score,individuals may be experiencing a moderate degree of stress as a result of difficulties in some major life area
Treatment Rejection,,pai,PAI,Psychosocial Problems,Treatment Considerations,Treatment Rejection,,,,rating_scale,t_score,"average scores suggest a person who acknowledges major difficulties in their functioning, and perceives an acute need for help in dealing with these problems"
Warmth,,pai,PAI,Psychosocial Problems,Interpersonal,Interpersonal,,,,rating_scale,t_score,"Average scores reflect an individual who is likely to be able to adapt to different interpersonal situations, by being able to tolerate close attachment but also capable of maintaining some distance in relationships as needed"
ALC Estimated Score,,pai,PAI,Substance Use,Alcohol Use,Estimated Alcohol Use,,,,rating_scale,t_score,Mathematical estimate of alcohol use derived from personality traits
Alcohol Problems,,pai,PAI,Substance Use,Alcohol Use,Reported Alcohol Use,,,,rating_scale,t_score,are indicative of an individual who may drink regularly and may have experienced some adverse consequences as a result
DRG Estimated Score,,pai,PAI,Substance Use,Drug Use,Estimated Drug Use,,,,rating_scale,t_score,Predicted estimate of drug use derived from personality traits
Drug Problems,,pai,PAI,Substance Use,Drug Use,Reported Drug Use,,,,rating_scale,t_score,scores are indicative of a person who may use drugs on a fairly regular basis and may have experienced some adverse consequences as a result
Back Random Responding,,pai,PAI,Symptom Validity,Response Inconsistency,Response Inconsistency,,,,symptom_validity,t_score,Back Random Responding
Cashel Discriminant Function,,pai,PAI,Symptom Validity,Positive Impression,Defensiveness/Fake Good,,,,symptom_validity,t_score,Cashel Discriminant Function
Defensiveness Index,,pai,PAI,Symptom Validity,Positive Impression,Defensiveness/Fake Good,,,,symptom_validity,t_score,Defensiveness Index
Hong Defensiveness Index,,pai,PAI,Symptom Validity,Positive Impression,Defensiveness/Fake Good,,,,symptom_validity,t_score,Hong Defensiveness Index
Hong Malingering Index,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Hong Malingering Index
Hong Randomness Index,,pai,PAI,Symptom Validity,Response Inconsistency,Response Inconsistency,,,,symptom_validity,t_score,Hong Randomness Index
Inconsistency,,pai,PAI,Symptom Validity,Response Inconsistency,Response Inconsistency,,,,symptom_validity,t_score,Inconsistency
Infrequency,,pai,PAI,Symptom Validity,Infrequent Responses,Infrequent Responses,,,,symptom_validity,t_score,Infrequency
Malingered Pain-Related Disability Discriminant Function,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Malingered Pain-Related Disability Discriminant Function
Malingering Index,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Malingering Index
Multiscale Feigning Index,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Multiscale Feigning Index
Negative Distortion Scale,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Negative Distortion Scale
Negative Impression Management,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Negative Impression Management
Positive Distortion Scale,,pai,PAI,Symptom Validity,Positive Impression,Defensiveness/Fake Good,,,,symptom_validity,t_score,Positive Distortion Scale
Positive Impression Management,,pai,PAI,Symptom Validity,Positive Impression,Defensiveness/Fake Good,,,,symptom_validity,t_score,Positive Impression Management
Rogers Discriminant Function,,pai,PAI,Symptom Validity,Negative Impression,Symptom Exaggeration,,,,symptom_validity,t_score,Rogers Discriminant Function
Affective Instability,,pai_adolescent,PAI-A,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,"Affective Instability (a propensity to experience a particular negative affect (anxiety, depression, or anger is the typical response))"
Antisocial Behaviors,,pai_adolescent,PAI-A,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,Antisocial Behaviors (scores suggest a history of difficulties with authority and with social convention)
Antisocial Features,,pai_adolescent,PAI-A,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,"Antisocial Features (individuals are likely to be impulsive and hostile, perhaps with a history of reckless and/or antisocial acts) was Above Average."
Borderline Features,,pai_adolescent,PAI-A,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,Borderline Features (behaviors typically associated with borderline personality disorder)
Egocentricity,,pai_adolescent,PAI-A,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,Egocentricity (suggest a person who tends to be self-centered and pragmatic in interaction with others)
